"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"23/09/2021","1,742.57","1,768.40","1,776.60","1,737.84","","-1.43%"
"22/09/2021","1,767.91","1,774.51","1,787.51","1,764.84","","-0.36%"
"21/09/2021","1,774.25","1,764.19","1,782.07","1,757.61","","0.59%"
"20/09/2021","1,763.88","1,754.30","1,767.31","1,742.24","","0.55%"
"17/09/2021","1,754.16","1,753.67","1,768.22","1,747.07","","0.04%"
"16/09/2021","1,753.39","1,794.34","1,796.71","1,745.04","","-2.19%"
"15/09/2021","1,792.59","1,804.53","1,807.30","1,790.28","","-0.65%"
"14/09/2021","1,804.27","1,793.77","1,808.99","1,781.89","","0.60%"
"13/09/2021","1,793.49","1,788.55","1,798.66","1,783.73","","0.34%"
"10/09/2021","1,787.34","1,794.61","1,804.15","1,786.53","","-0.41%"
"09/09/2021","1,794.69","1,789.19","1,801.19","1,783.83","","0.32%"
"08/09/2021","1,788.93","1,794.41","1,802.60","1,781.98","","-0.29%"
"07/09/2021","1,794.13","1,823.27","1,827.39","1,792.33","","-1.59%"
"06/09/2021","1,823.10","1,828.66","1,830.60","1,820.58","","-0.17%"
"03/09/2021","1,826.19","1,809.98","1,834.55","1,808.53","","0.93%"
"02/09/2021","1,809.40","1,813.92","1,817.53","1,804.48","","-0.23%"
"01/09/2021","1,813.66","1,813.57","1,820.21","1,808.18","","0.01%"
"31/08/2021","1,813.43","1,810.26","1,819.43","1,801.47","","0.18%"
"30/08/2021","1,810.17","1,817.55","1,823.38","1,807.28","","-0.36%"
"27/08/2021","1,816.67","1,792.60","1,819.38","1,787.66","","1.37%"
"26/08/2021","1,792.16","1,791.09","1,798.61","1,779.48","","0.08%"
"25/08/2021","1,790.68","1,802.86","1,803.57","1,782.45","","-0.66%"
"24/08/2021","1,802.61","1,805.61","1,810.03","1,799.73","","-0.14%"
"23/08/2021","1,805.20","1,780.55","1,806.92","1,776.03","","1.37%"
"20/08/2021","1,780.87","1,780.44","1,788.85","1,777.96","","0.04%"
"19/08/2021","1,780.18","1,788.05","1,792.56","1,774.20","","-0.41%"
"18/08/2021","1,787.59","1,786.21","1,794.31","1,777.31","","0.09%"
"17/08/2021","1,785.96","1,787.51","1,795.77","1,780.28","","-0.07%"
"16/08/2021","1,787.24","1,778.44","1,789.51","1,770.38","","0.45%"
"13/08/2021","1,779.15","1,752.72","1,780.53","1,751.27","","1.52%"
"12/08/2021","1,752.44","1,751.66","1,758.62","1,741.29","","0.05%"
"11/08/2021","1,751.56","1,729.01","1,754.63","1,723.54","","1.32%"
"10/08/2021","1,728.71","1,729.74","1,738.49","1,717.17","","-0.04%"
"09/08/2021","1,729.46","1,763.34","1,764.65","1,684.77","","-1.89%"
"06/08/2021","1,762.69","1,804.28","1,804.93","1,758.33","","-2.29%"
"05/08/2021","1,804.01","1,811.69","1,815.45","1,797.74","","-0.41%"
"04/08/2021","1,811.41","1,810.60","1,832.10","1,806.54","","0.08%"
"03/08/2021","1,809.94","1,813.64","1,815.18","1,806.73","","-0.19%"
"02/08/2021","1,813.39","1,814.34","1,819.94","1,805.12","","-0.01%"
"30/07/2021","1,813.58","1,828.21","1,831.63","1,809.48","","-0.79%"
"29/07/2021","1,827.95","1,807.15","1,833.05","1,806.29","","1.17%"
"28/07/2021","1,806.88","1,799.00","1,809.90","1,792.60","","0.45%"
"27/07/2021","1,798.73","1,797.53","1,805.60","1,792.83","","0.08%"
"26/07/2021","1,797.27","1,802.65","1,811.97","1,795.68","","-0.23%"
"23/07/2021","1,801.34","1,806.95","1,810.56","1,790.45","","-0.30%"
"22/07/2021","1,806.69","1,803.58","1,808.34","1,792.11","","0.19%"
"21/07/2021","1,803.31","1,810.32","1,814.02","1,794.18","","-0.37%"
"20/07/2021","1,810.03","1,812.61","1,825.27","1,805.06","","-0.13%"
"19/07/2021","1,812.34","1,811.65","1,817.56","1,794.66","","0.08%"
"16/07/2021","1,810.89","1,829.45","1,832.20","1,808.65","","-1.00%"
"15/07/2021","1,829.19","1,827.35","1,833.99","1,820.07","","0.12%"
"14/07/2021","1,827.06","1,807.72","1,830.32","1,804.21","","1.09%"
"13/07/2021","1,807.44","1,806.17","1,817.51","1,798.54","","0.09%"
"12/07/2021","1,805.88","1,807.94","1,811.04","1,791.21","","-0.12%"
"09/07/2021","1,807.98","1,802.89","1,812.71","1,796.09","","0.30%"
"08/07/2021","1,802.56","1,803.67","1,818.70","1,794.28","","-0.05%"
"07/07/2021","1,803.41","1,796.96","1,810.13","1,793.64","","0.37%"
"06/07/2021","1,796.69","1,791.88","1,815.34","1,789.91","","0.28%"
"05/07/2021","1,791.61","1,787.69","1,795.69","1,784.09","","0.27%"
"02/07/2021","1,786.79","1,776.83","1,795.40","1,773.73","","0.57%"
"01/07/2021","1,776.60","1,770.06","1,783.07","1,765.47","","0.38%"
"30/06/2021","1,769.80","1,761.35","1,774.72","1,752.78","","0.49%"
"29/06/2021","1,761.09","1,778.44","1,779.24","1,750.11","","-0.96%"
"28/06/2021","1,778.18","1,781.24","1,785.90","1,770.69","","-0.12%"
"25/06/2021","1,780.34","1,775.46","1,790.60","1,773.27","","0.29%"
"24/06/2021","1,775.18","1,779.01","1,788.56","1,772.67","","-0.20%"
"23/06/2021","1,778.73","1,778.80","1,795.18","1,773.13","","0.01%"
"22/06/2021","1,778.51","1,783.23","1,790.42","1,771.99","","-0.25%"
"21/06/2021","1,782.95","1,764.44","1,786.75","1,764.44","","1.11%"
"18/06/2021","1,763.34","1,772.73","1,797.24","1,761.04","","-0.56%"
"17/06/2021","1,773.31","1,812.18","1,825.58","1,766.88","","-2.13%"
