Date,tas
8/1974,26.4851
9/1974,26.3048
10/1974,24.597
11/1974,22.5401
12/1974,20.5676
1/1975,19.9756
2/1975,21.3986
3/1975,22.9161
4/1975,25.9586
5/1975,26.6659
6/1975,26.8423
7/1975,26.9637
8/1975,26.5639
9/1975,26.3012
10/1975,24.5087
11/1975,21.5676
12/1975,18.0094
1/1976,18.3096
2/1976,21.0125
3/1976,21.4462
4/1976,24.7182
5/1976,26.5383
6/1976,26.7607
7/1976,26.8858
8/1976,26.4881
9/1976,25.7708
10/1976,24.5713
11/1976,20.7945
12/1976,20.5994
1/1977,18.6237
2/1977,18.6284
3/1977,22.0028
4/1977,25.2299
5/1977,27.234
6/1977,28.0894
7/1977,27.014
8/1977,27.0262
9/1977,25.6875
10/1977,24.841
11/1977,21.9774
12/1977,21.2626
1/1978,20.2368
2/1978,20.5797
3/1978,22.9835
4/1978,25.0496
5/1978,26.3289
6/1978,27.043
7/1978,26.9158
8/1978,26.6568
9/1978,25.3144
10/1978,24.0808
11/1978,22.4643
12/1978,21.3173
1/1979,21.2204
2/1979,22.4333
3/1979,23.3757
4/1979,25.2898
5/1979,26.3374
6/1979,26.9379
7/1979,27.5876
8/1979,26.787
9/1979,25.9927
10/1979,23.7811
11/1979,21.7453
12/1979,21.3295
1/1980,20.4279
2/1980,20.2713
3/1980,23.6651
4/1980,25.8562
5/1980,26.9428
6/1980,27.1611
7/1980,27.2487
8/1980,26.9018
9/1980,25.6612
10/1980,24.8145
11/1980,23.0793
12/1980,20.8345
1/1981,19.2481
2/1981,21.4908
3/1981,22.9911
4/1981,25.4189
5/1981,26.0226
6/1981,26.6121
7/1981,26.6934
8/1981,27.4885
9/1981,26.7703
10/1981,24.5828
11/1981,22.5124
12/1981,19.1709
1/1982,19.9368
2/1982,20.832
3/1982,22.988
4/1982,24.076
5/1982,26.7501
6/1982,26.8214
7/1982,27.0976
8/1982,26.6605
9/1982,25.7068
10/1982,25.3032
11/1982,23.532
12/1982,18.8768
1/1983,18.7402
2/1983,20.9087
3/1983,21.6707
4/1983,26.8556
5/1983,27.9283
6/1983,27.6282
7/1983,28.1474
8/1983,27.308
9/1983,26.8223
10/1983,25.0676
11/1983,21.6503
12/1983,19.3377
1/1984,18.1107
2/1984,20.1847
3/1984,22.0275
4/1984,25.9697
5/1984,26.1519
6/1984,26.8068
7/1984,26.9391
8/1984,26.7445
9/1984,25.6557
10/1984,23.8394
11/1984,22.9831
12/1984,20.5
1/1985,19.5221
2/1985,21.3608
3/1985,20.7962
4/1985,24.2176
5/1985,26.62
6/1985,27.0034
7/1985,26.6467
8/1985,26.7865
9/1985,25.555
10/1985,24.6223
11/1985,23.2286
12/1985,20.3262
1/1986,19.2157
2/1986,20.6171
3/1986,21.9043
4/1986,25.4043
5/1986,26.316
6/1986,27.0843
7/1986,26.7781
8/1986,27.0058
9/1986,26.0325
10/1986,24.4336
11/1986,22.2228
12/1986,21.0684
1/1987,20.5309
2/1987,21.8699
3/1987,23.3418
4/1987,25.5264
5/1987,27.4401
6/1987,27.5479
7/1987,27.5459
8/1987,27.1701
9/1987,26.1097
10/1987,25.5938
11/1987,23.4043
12/1987,18.8923
1/1988,20.9191
2/1988,21.2215
3/1988,21.754
4/1988,24.5852
5/1988,27.047
6/1988,27.2909
7/1988,27.3476
8/1988,26.7426
9/1988,26.3219
10/1988,24.0191
11/1988,21.6596
12/1988,20.5643
1/1989,19.9013
2/1989,20.2072
3/1989,21.3755
4/1989,25.6372
5/1989,26.3981
6/1989,27.0081
7/1989,27.2654
8/1989,27.1261
9/1989,26.508
10/1989,24.9172
11/1989,22.7828
12/1989,20.5588
1/1990,20.6366
2/1990,21.2421
3/1990,21.701
4/1990,25.5608
5/1990,25.9814
6/1990,27.0902
7/1990,26.9124
8/1990,27.6215
9/1990,26.539
10/1990,24.8785
11/1990,23.3786
12/1990,21.404
1/1991,21.2641
2/1991,21.7298
3/1991,23.9737
4/1991,26.2745
5/1991,27.4259
6/1991,27.5647
7/1991,27.2983
8/1991,26.9164
9/1991,26.7628
10/1991,24.6845
11/1991,22.4586
12/1991,21.3386
1/1992,18.9462
2/1992,20.5247
3/1992,22.7815
4/1992,26.8073
5/1992,27.6538
6/1992,27.4563
7/1992,26.9516
8/1992,27.3955
9/1992,26.7272
10/1992,23.8913
11/1992,21.7671
12/1992,21.4601
1/1993,19.0534
2/1993,21.2081
3/1993,22.6215
4/1993,25.4837
5/1993,27.0579
6/1993,27.9814
7/1993,27.5191
8/1993,27.2252
9/1993,26.504
10/1993,24.4762
11/1993,23.0068
12/1993,20.198
