"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2021","75.21","76.66","77.08","74.95","237.12K","-2.31%"
"30/12/2021","76.99","76.58","77.44","75.78","231.16K","0.56%"
"29/12/2021","76.56","76.04","77.37","75.36","283.56K","0.76%"
"28/12/2021","75.98","75.97","76.92","75.53","249.73K","0.54%"
"27/12/2021","75.57","73.38","76.09","72.57","268.49K","2.41%"
"23/12/2021","73.79","73.03","73.95","72.27","270.22K","1.42%"
"22/12/2021","72.76","71.27","73.16","70.80","306.71K","2.31%"
"21/12/2021","71.12","69.21","71.55","68.56","358.78K","4.24%"
"20/12/2021","68.23","70.07","70.07","66.04","36.73K","-3.71%"
"17/12/2021","70.86","71.92","72.26","69.89","78.13K","-2.10%"
"16/12/2021","72.38","71.48","72.99","71.03","142.54K","2.13%"
"15/12/2021","70.87","70.35","71.66","69.39","294.34K","0.20%"
"14/12/2021","70.73","71.12","72.03","69.51","359.45K","-0.79%"
"13/12/2021","71.29","72.04","73.00","70.71","406.60K","-0.53%"
"10/12/2021","71.67","70.68","72.33","70.32","397.88K","1.03%"
"09/12/2021","70.94","72.52","73.34","70.39","393.21K","-1.96%"
"08/12/2021","72.36","71.86","73.00","70.91","464.85K","0.43%"
"07/12/2021","72.05","69.72","73.03","69.52","496.53K","3.68%"
"06/12/2021","69.49","67.02","70.15","66.72","401.06K","4.87%"
"03/12/2021","66.26","67.50","69.22","65.60","449.97K","-0.36%"
"02/12/2021","66.50","65.63","67.49","62.43","668.29K","1.42%"
"01/12/2021","65.57","67.01","69.49","64.84","602.45K","-0.92%"
"30/11/2021","66.18","70.04","71.22","64.43","722.48K","-5.39%"
"29/11/2021","69.95","69.23","72.93","68.86","675.09K","2.64%"
"26/11/2021","68.15","78.34","78.65","67.40","844.63K","-11.96%"
"25/11/2021","77.41","78.38","78.65","77.28","","-1.25%"
"24/11/2021","78.39","78.48","79.23","77.98","328.85K","-0.14%"
"23/11/2021","78.50","76.46","78.86","75.30","506.99K","2.28%"
"22/11/2021","76.75","75.75","77.16","74.76","465.77K","0.85%"
"19/11/2021","76.10","78.76","79.92","75.37","30.70K","-3.68%"
"18/11/2021","79.01","78.34","79.36","77.08","83.98K","0.83%"
"17/11/2021","78.36","80.54","80.69","77.69","174.47K","-2.97%"
"16/11/2021","80.76","80.93","81.81","80.03","325.67K","-0.15%"
"15/11/2021","80.88","80.66","81.20","79.30","343.48K","0.11%"
"12/11/2021","80.79","81.21","81.62","79.78","390.30K","-0.98%"
"11/11/2021","81.59","81.41","82.33","80.20","475.44K","0.31%"
"10/11/2021","81.34","84.53","84.97","80.81","555.22K","-3.34%"
"09/11/2021","84.15","82.16","84.63","81.78","504.83K","2.71%"
"08/11/2021","81.93","81.13","82.67","81.05","393.95K","0.81%"
"05/11/2021","81.27","79.37","81.80","78.96","531.05K","3.12%"
"04/11/2021","78.81","80.18","83.42","78.25","701.12K","-2.54%"
"03/11/2021","80.86","83.07","83.08","79.69","546.58K","-3.63%"
"02/11/2021","83.91","83.87","84.41","82.92","429.61K","-0.17%"
"01/11/2021","84.05","83.36","84.88","82.74","412.31K","0.57%"
"29/10/2021","83.57","83.09","83.74","81.41","507.31K","0.92%"
"28/10/2021","82.81","82.25","83.21","80.58","491.59K","0.18%"
"27/10/2021","82.66","84.39","84.51","82.01","529.95K","-2.35%"
"26/10/2021","84.65","83.72","84.88","82.97","467.72K","1.06%"
"25/10/2021","83.76","83.98","85.41","83.39","568.73K","0.00%"
"22/10/2021","83.76","82.61","84.22","81.76","465.36K","1.53%"
"21/10/2021","82.50","83.58","83.96","80.79","567.50K","-1.63%"
"20/10/2021","83.87","83.34","84.25","81.30","25.72K","1.10%"
"19/10/2021","82.96","82.37","83.74","81.80","82.61K","0.63%"
"18/10/2021","82.44","82.60","83.87","81.84","134.10K","0.19%"
"15/10/2021","82.28","81.48","82.66","81.39","277.95K","1.19%"
"14/10/2021","81.31","80.59","81.68","80.38","399.81K","1.08%"
"13/10/2021","80.44","80.58","81.04","79.42","487.22K","-0.25%"
"12/10/2021","80.64","80.50","81.62","79.47","598.18K","0.15%"
