"Ngày","Giá"
"19/10/2020",1904.27
"16/10/2020",1898.97
"15/10/2020",1907.8200000000002
"14/10/2020",1900.8899999999999
"13/10/2020",1890.8200000000002
"12/10/2020",1921.95
"09/10/2020",1929.4299999999998
"08/10/2020",1893.0900000000001
"07/10/2020",1887.22
"06/10/2020",1877.13
"05/10/2020",1912.9
"02/10/2020",1898.7
"01/10/2020",1905.05
"30/09/2020",1885.44
"29/09/2020",1897.69
"28/09/2020",1880.85
"25/09/2020",1860.05
"24/09/2020",1868.04
"23/09/2020",1863.55
"22/09/2020",1899.28
"21/09/2020",1912.5700000000002
"18/09/2020",1949.69
"17/09/2020",1942.6
"16/09/2020",1959.3200000000002
